corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc-coref,rhzq.0,627,652,_stage,630,651,Insterburg in Preußen,Insterburg-in-Preußen
gdc-coref,rhzq.0,627,652,_stage,644,651,Preußen,Preußen
gdc-coref,rhzq.0,654,1780,laeuffer,663,673,Mein Vater,pastor-(läuffers-vater)
gdc-coref,rhzq.0,654,1780,laeuffer,663,667,Mein,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,680,683,ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,716,719,Ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,748,754,seinem,pastor-(läuffers-vater)
gdc-coref,rhzq.0,654,1780,laeuffer,763,765,er,pastor-(läuffers-vater)
gdc-coref,rhzq.0,654,1780,laeuffer,804,807,ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,853,857,Welt,Welt-(meint-verschiedene-Orte-in-der-Welt))
gdc-coref,rhzq.0,654,1780,laeuffer,870,936,bei der Stadtschule hat mich der Geheime Rat nicht annehmen wollen,Mag's
gdc-coref,rhzq.0,654,1780,laeuffer,874,889,der Stadtschule,der-Stadtschule-(insterburg)
gdc-coref,rhzq.0,654,1780,laeuffer,894,898,mich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,899,914,der Geheime Rat,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,938,943,Mag's,Mag's
gdc-coref,rhzq.0,654,1780,laeuffer,945,947,er,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,967,970,dem,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,984,994,der Teufel,der-Teufel-(eher-sprichwörtl.)-xxx
gdc-coref,rhzq.0,654,1780,laeuffer,1023,1037,Im halben Jahr,Im-halben-Jahr-(Zeitraum-unabhängig-vom-zeitpunkt)
gdc-coref,rhzq.0,654,1780,laeuffer,1043,1046,ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1074,1077,ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1082,1092,der Schule,der-Stadtschule-(insterburg)
gdc-coref,rhzq.0,654,1780,laeuffer,1119,1122,ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1127,1149,einen Klassenpräzeptor,"einen-Klassenpräzeptor-(prädikativ-läuffer,-meint-lehrer-in-städtischer-schule)"
gdc-coref,rhzq.0,654,1780,laeuffer,1191,1211,der Herr Geheime Rat,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1243,1378,"Er nennt mich immer nur Monsieur Läuffer, und wenn wir von Leipzig sprechen, fragt er nach Händels Kuchengarten und Richters Kaffeehaus",das
gdc-coref,rhzq.0,654,1780,laeuffer,1243,1245,Er,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1252,1256,mich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1302,1309,Leipzig,Leipzig
gdc-coref,rhzq.0,654,1780,laeuffer,1326,1328,er,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1380,1383,ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1401,1404,das,das
gdc-coref,rhzq.0,654,1780,laeuffer,1425,1428,Ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1433,1436,ihn,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1509,1511,er,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1518,1522,mich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1564,1566,er,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1576,1585,dem Major,major-ccc
gdc-coref,rhzq.0,654,1780,laeuffer,1587,1590,ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1603,1606,ich,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1613,1616,ihn,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1627,1637,den Teufel,der-Teufel-(eher-sprichwörtl.)-xxx
gdc-coref,rhzq.0,654,1780,laeuffer,1639,1647,Der Kerl,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1652,1701,"etwas in seinem Gesicht, das mir unerträglich ist","etwas-in-seinem---------------Gesicht,-das-mir-unerträglich-ist-(-etwas-in-geheimer-rats-gesicht)"
gdc-coref,rhzq.0,654,1780,laeuffer,1661,1675,seinem Gesicht,seinem--------------Gesicht-(geheimer-rats)
gdc-coref,rhzq.0,654,1780,laeuffer,1661,1667,seinem,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1677,1680,das,"etwas-in-seinem---------------Gesicht,-das-mir-unerträglich-ist-(-etwas-in-geheimer-rats-gesicht)"
gdc-coref,rhzq.0,654,1780,laeuffer,1681,1684,mir,laeuffer
gdc-coref,rhzq.0,654,1780,laeuffer,1708,1724,dem Geheimen Rat,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,654,1780,laeuffer,1729,1738,dem Major,major-ccc
gdc-coref,rhzq.0,654,1780,laeuffer,1743,1772,viel freundlichen Scharrfüßen,viel-----------------freundlichen-Scharrfüßen-(verbeugungen-läuffers)
gdc-coref,rhzq.0,1801,1821,_stage,1801,1813,Geheimer Rat,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,1801,1821,_stage,1815,1820,Major,major-ccc
gdc-coref,rhzq.0,1823,1891,major,1841,1843,du,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,1823,1891,major,1854,1857,das,laeuffer-ccc
gdc-coref,rhzq.0,1823,1891,major,1864,1890,ein ganz artiges Männichen,ein-ganz-artiges-Männichen-(prädikativ-läuffer)
gdc-coref,rhzq.0,1896,1973,geheimer_rat,1951,1953,er,laeuffer-ccc
gdc-coref,rhzq.0,1896,1973,geheimer_rat,1954,1965,deinen Sohn,"leopold,-sohn-von-major"
gdc-coref,rhzq.0,1896,1973,geheimer_rat,1954,1960,deinen,major-ccc
gdc-coref,rhzq.0,1979,2048,major,1986,1989,Ich,major
gdc-coref,rhzq.0,1979,2048,major,2002,2010,"Berg, du","geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,1979,2048,major,2022,2047,solche wunderliche Fragen,solche-wunderliche-Fragen-(geheimer-rats-fragen-allg)
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2084,2086,du,major-ccc
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2097,2109,eine Absicht,eine-Absicht-(majors-absicht-hinter-der-anstellung-eines-hofmeisters)
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2122,2124,du,major-ccc
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2125,2141,einen Hofmeister,einen-Hofmeister-(unbest.)
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2198,2217,dreihundert Dukaten,dreihundert-Dukaten-(lohn-für-majors-hofmeister-jährlich)
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2236,2239,mir,geheimer_rat
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2252,2254,du,major-ccc
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2259,2267,dem Geld,dreihundert-Dukaten-(lohn-für-majors-hofmeister-jährlich)
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2294,2296,du,major-ccc
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2297,2302,dafür,dreihundert-Dukaten-(lohn-für-majors-hofmeister-jährlich)
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2307,2324,deinem Hofmeister,laeuffer-ccc
gdc-coref,rhzq.0,2053,2325,geheimer_rat,2307,2313,deinem,major-ccc
gdc-coref,rhzq.0,2330,2572,major,2341,2343,er,laeuffer-ccc
gdc-coref,rhzq.0,2330,2572,major,2350,2353,ich,major
gdc-coref,rhzq.0,2330,2572,major,2360,2362,er,laeuffer-ccc
gdc-coref,rhzq.0,2330,2572,major,2363,2374,meinen Sohn,"leopold,-sohn-von-major"
gdc-coref,rhzq.0,2330,2572,major,2363,2369,meinen,major
gdc-coref,rhzq.0,2330,2572,major,2378,2398,allen Wissenschaften,die-Wissenschaften-(als-lehrinhalt-im-unterricht)
gdc-coref,rhzq.0,2330,2572,major,2403,2431,Artigkeiten und Weltmanieren,Sitten-(gesellschaftl-Benimmregeln-einer-best-zeit)
gdc-coref,rhzq.0,2330,2572,major,2434,2437,Ich,major
gdc-coref,rhzq.0,2330,2572,major,2459,2461,du,"geheimer_rat-(bruder-von-major,-auch-berg)-ccc"
gdc-coref,rhzq.0,2330,2572,major,2472,2485,deinen Fragen,solche-wunderliche-Fragen-(geheimer-rats-fragen-allg)
gdc-coref,rhzq.0,2330,2572,major,2494,2497,das,eine-Absicht-(majors-absicht-hinter-der-anstellung-eines-hofmeisters)
gdc-coref,rhzq.0,2330,2572,major,2503,2507,sich,eine-Absicht-(majors-absicht-hinter-der-anstellung-eines-hofmeisters)
gdc-coref,rhzq.0,2330,2572,major,2522,2572,das werd ich ihm alles schon zu seiner Zeit sagen.,Das
gdc-coref,rhzq.0,2330,2572,major,2522,2525,das,eine-Absicht-(majors-absicht-hinter-der-anstellung-eines-hofmeisters)
gdc-coref,rhzq.0,2330,2572,major,2531,2534,ich,major
gdc-coref,rhzq.0,2330,2572,major,2535,2538,ihm,laeuffer-ccc
gdc-coref,rhzq.0,2577,2741,geheimer_rat,2591,2594,Das,Das
gdc-coref,rhzq.0,2577,2741,geheimer_rat,2602,2604,du,major-ccc
gdc-coref,rhzq.0,2577,2741,geheimer_rat,2623,2641,deines Hofmeisters,einen-Hofmeister-(unbest.)
gdc-coref,rhzq.0,2577,2741,geheimer_rat,2623,2629,deines,major-ccc
gdc-coref,rhzq.0,2577,2741,geheimer_rat,2657,2659,du,major-ccc
gdc-coref,rhzq.0,2577,2741,geheimer_rat,2675,2677,du,major-ccc
